ID,hh_id,home_lon,home_lat,home_in_region,home_bg_2010,home_bg_2020,home_county,home_state,home_puma_2010,home_puma_2020,sample_home_lon,sample_home_lat,sample_home_bg,sample_segment,participation_group,num_days_complete_weekday,num_days_complete_weekend,num_complete_mon,num_complete_tue,num_complete_wed,num_complete_thu,num_complete_fri,num_complete_sat,num_complete_sun,num_people,num_adults,num_kids,num_students,num_workers,num_vehicles,num_bicycles,income_detailed,income_followup,res_type,residence_rent_own,bicycle_type_1,bicycle_type_2,bicycle_type_997,hh_weight,MGRA
2591,22117556,-117.14377,32.80526,1,60730092011,60730092011,6073,6,7315,7315,<Null>,<Null>,<Null>,5,3,5,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,3,995,4,2,995,995,995,139.021147,9091
761,22035111,-117.26538,32.81065,1,60730080062,60730080062,6073,6,7310,7310,-117.265389,32.810066,60730080062,1,9,4,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0,7,995,4,2,995,995,995,372.855025,9098
1173,22052651,-117.24425,32.87251,1,60730083123,60730083123,6073,6,7310,7310,-117.244471,32.872955,60730083123,2,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,5,995,1,1,995,995,995,72.615498,9099
1140,22050982,-117.24173,32.84978,1,60730083132,60730083132,6073,6,7310,7310,-117.241786,32.849656,60730083132,2,2,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,5,995,1,1,995,995,995,44.176976,9102
1853,22085406,-117.23673,32.86659,1,60730083611,60730083611,6073,6,7312,7312,-117.234731,32.864682,60730083611,3,9,5,1,1,1,1,1,1,1,0,2,2,0,0,2,1,0,7,995,4,2,995,995,995,14.297431,9104
16,22000356,-117.21453,32.91861,1,60730083331,60730083721,6073,6,7311,7311,-117.215906,32.91816,60730083331,1,1,1,0,0,0,1,0,0,0,0,2,2,0,0,2,2,0,5,995,4,2,995,995,995,139.52587,9110
1563,22071369,-116.96433,32.66687,1,60730134101,60730213061,6073,6,7320,7320,-116.964272,32.66664,60730134101,3,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0,3,4,8,995,1,1,1,0,0,18.107284,9134
1471,22066955,-116.96999,32.66816,1,60730134101,60730134232,6073,6,7320,7320,-116.96995,32.668394,60730134101,3,1,1,0,0,0,0,1,0,0,0,5,3,2,1,2,3,5,7,995,1,1,1,0,0,299.254506,9143
874,22040062,-116.97985,32.64908,1,60730134182,60730134182,6073,6,7320,7320,-116.979333,32.648881,60730134182,1,1,1,0,0,1,0,0,0,0,0,2,2,0,1,0,2,3,7,995,1,1,1,0,0,532.385388,9148
162,22006605,-116.99722,32.64973,1,60730134161,60730134161,6073,6,7320,7320,-116.997451,32.649923,60730134161,1,3,5,1,1,1,1,1,1,1,0,1,1,0,0,0,2,0,7,995,1,1,995,995,995,102.101712,9155
1599,22073310,-117.28416,33.42024,1,60730190011,60730190011,6073,6,7302,7302,-117.284428,33.420081,60730190011,3,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,6,995,1,1,995,995,995,67.901164,9159
229,22010156,-117.11029,32.58836,1,60730105021,60730105021,6073,6,7322,7322,-117.110576,32.588145,60730105021,1,3,5,2,1,1,1,1,1,1,1,2,2,0,0,0,1,1,1,995,4,2,0,1,0,557.842443,9184
1321,22058522,-117.0661,32.57483,1,60730100102,60730100102,6073,6,7322,7322,-117.065315,32.574502,60730100102,3,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,999,999,5,2,995,995,995,1113.223237,9202
728,22033407,-117.05162,32.58629,1,60730100012,60730100012,6073,6,7322,7322,-117.05186,32.586305,60730100012,1,1,1,0,0,0,1,0,0,0,0,4,2,2,0,2,1,3,8,995,1,1,1,0,0,16024.89866,9208
2139,22100336,-117.11857,32.57792,1,60730103004,60730103004,6073,6,7322,7322,-117.118444,32.577793,60730103004,4,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,3,1,999,999,1,999,1,0,0,128.960441,9218
2523,22117133,-117.11778,32.5786,1,60730103004,60730103004,6073,6,7322,7322,-117.117996,32.578636,60730103004,4,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,3,995,1,999,1,0,0,177.266472,9218
2099,22098697,-117.10619,32.57223,1,60730104022,60730104022,6073,6,7322,7322,-117.105777,32.5722,60730104022,4,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,4,995,4,2,1,0,0,6.662355,9229
2406,22112008,-117.10992,32.56932,1,60730104022,60730104022,6073,6,7322,7322,-117.109968,32.569524,60730104022,4,9,3,2,0,0,1,1,1,1,1,2,2,0,0,1,2,2,7,995,1,999,1,0,0,289.518377,9230
1922,22089372,-117.09161,32.58285,1,60730101101,60730101101,6073,6,7322,7322,-117.091803,32.583512,60730101101,4,6,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,995,4,995,995,995,995,995,995,6.463199,9249
1481,22067257,-117.06821,32.55935,1,60730101092,60730101092,6073,6,7322,7322,-117.068057,32.559489,60730101092,3,1,1,0,0,0,1,0,0,0,0,6,5,1,0,3,4,2,5,995,1,1,1,0,0,546.23802,9253
1619,22074466,-117.07086,32.56287,1,60730101092,60730101092,6073,6,7322,7322,-117.070896,32.562585,60730101092,3,9,4,2,1,1,1,0,1,1,1,2,2,0,0,1,3,1,6,995,1,1,1,0,0,1874.63712,9254
2778,22118058,-117.0745,32.56859,1,60730101063,60730101063,6073,6,7322,7322,<Null>,<Null>,<Null>,7,1,1,0,0,0,1,0,0,0,0,2,2,0,1,2,1,1,999,999,6,999,1,0,0,9.376466,9255
1436,22065239,-117.05826,32.56324,1,60730100121,60730100121,6073,6,7322,7322,-117.058913,32.563132,60730100121,3,1,1,0,0,0,1,0,0,0,0,3,3,0,1,1,4,0,999,999,1,999,995,995,995,9349.476438,9259
1873,22086286,-117.05938,32.56358,1,60730100121,60730100121,6073,6,7322,7322,-117.059402,32.563844,60730100121,3,1,1,0,0,0,1,0,0,0,0,4,2,2,1,2,2,2,4,995,1,999,1,0,0,301.874238,9259
