,veh_make_other,vehicle_model,vehicle_year,weight_class_cvm,vehicle_classification,vehicle_weight
692,Chevrolet,SILVERADO,2021,DA,2,7300
693,GMC,SAVANA,2018,LHD,3,9900
694,Chevrolet,SILVERADO,2014,DA,2,7300
695,GMC,Canyon,2004,DA,2,7200
696,Ford,F150,2011,DA,2,6100
697,Chevrolet,Traverse,2016,DA,1,4362
698,Ford,F150,2017,DA,2,7010
699,Chevrolet,Suburban ,2018,DA,1,6900
700,Kenworth,Super 10 Dump,2015,MHD,6,22500
701,Ford,F150,2010,DA,2,7010
702,DODGE,RAM,2018,LHD,2,10000
703,Ford,F250,2017,LHD,2,10000
704,Nissan,Rogue,2017,DA,1,3500
705,TOYOTA,COROLLA,2006,DA,1,2900
706,DODGE,Dakota,2017,DA,2,6140
707,Chevrolet,Silverado Hybrid,2006,DA,2,9000
708,CHRYSLER,town & country,2007,DA,3,4652
709,Ford,TRANSIT,2017,LHD,3,10360
710,Chevrolet,Suburban ,2017,DA,1,5500
711,Ford,E-350,2020,LHD,3,10360
712,Ford,ECONOLINE 250,2017,LHD,3,9500
713,Ford,E350,2017,LHD,3,9500
714,Chevrolet,Traverse,2021,DA,1,6260
715,Chevrolet,Traverse,2020,DA,1,6160
716,DODGE,CARAVAN/GRAND CARAVAN 4WD,2018,DA,3,5500
717,Chevrolet,Traverse ,2019,DA,1,6160
718,Chevrolet,Traverse ,2021,DA,1,6160
719,DODGE,RAM 1500,2015,DA,2,9000
720,Ford,TRANSIT CONNECT,2019,LHD,3,10360
721,Ford,TRANSIT T-250,2018,LHD,3,10360
722,Ford,E300 VAN,2016,LHD,3,10360
723,Ford,E350 VAN,2020,LHD,3,10360
724,Ford,E-Series,2016,LHD,3,8900
725,Ford,E-Series Van,2020,LHD,3,9500
726,Ford,E-350,2020,LHD,3,9500
727,Chevrolet,Traverse ,2021,DA,1,6160
728,Chevrolet,Traverse ,2021,DA,1,6160
729,TOYOTA,SIENNA,2006,DA,1,4610
730,TOYOTA,SIENNA,2008,DA,1,4610
731,TOYOTA,SIENNA,2011,DA,1,4300
732,Nissan,Versa,2015,DA,1,2600
733,Nissan,Versa,2015,DA,1,2600
